Name,vram,price
AMD RADEON PRO W5700 - 8GB GDDR6,6,33900
POWER COLOR RED DRAGON AXRX-6800XT-16GBD6-3DHR/OC,6,26900
MSI RADEON RX 6800 XT GAMING X TRIO 16G - 16GB GDDR6,6,35800
POWER COLOR RED DEVIL AMD RADEON RX 6900 XT ULTIMATE 16GB GDDR6,6,54900
ASROCK AMD RADEON RX 6600 XT CHALLENGER D 8GB OC - 8GB GDDR6,6,12900
POWERCOLOR FIGHTER AMD RADEON RX 6500 XT 4GB GDDR6,6,5190
SAPPHIRE PULSE AMD RADEON RX 6750 XT - 12GB GDDR6,6,11900
MSI RADEON RX 6950 XT GAMING X TRIO 16G - 16GB GDDR6,6,37900
ASUS DUAL RADEON RX 6600 V2 8GB GDDR6,6,7590
POWERCOLOR FIGHTER AMD RADEON RX 6650 XT 8GB GDDR6,6,8490
ASUS TUF GAMING RADEON RX 7900 XT OC EDITION 20GB GDDR6,6,37400
ASUS TUF GAMING RADEON RX 7900 XTX OC EDITION 24GB GDDR6,6,40900
POWERCOLOR HELLHOUND AMD RADEON RX 7900 XT 20GB GDDR6,6,35900
SAPPHIRE NITRO+ AMD RADEON RX 7900 XTX VAPOR-X 24GB - 24GB GDDR6,6,46900
GIGABYTE RADEON RX 7600 GAMING OC 8G - 8GB GDDR6,6,9900
ASUS DUAL-RX7600-O8G - 8GB GDDR6,6,9790
POWERCOLOR FIGHTER AMD RADEON RX 7600 8GB GDDR6,6,10200
SAPPHIRE PULSE AMD RADEON RX 7600 8GB - 8GB GDDR6,6,9900
POWERCOLOR RED DEVIL AMD RADEON RX 7800 XT 16GB GDDR6,6,22400
ASUS TUF GAMING RADEON RX 7800 XT OC EDITION 16GB GDDR6,6,22600
SAPPHIRE PULSE AMD RADEON RX 7800 XT 16GB - 16GB GDDR6,6,19200
ASUS TUF GAMING RADEON RX 7700 XT OC EDITION 12GB GDDR6,6,19600
ASROCK AMD RADEON RX 7600 STEEL LEGEND 8GB OC - 8GB GDDR6,6,11900
APPHIRE PURE AMD RADEON RX 7800 XT 16GB - 16GB GDDR6,6,21400
GIGABYTE RADEON RX 7700 XT GAMING OC 12G - 12GB GDDR6,6,17500
GIGABYTE RADEON RX 7800 XT GAMING OC 16G - 16GB GDDR6,6,19900
POWERCOLOR HELLHOUND AMD RADEON RX 7600 XT 16GB GDDR6,6,13800
POWERCOLOR FIGHTER AMD RADEON RX 7600 XT 16GB GDDR6,6,12900
ASUS TUF GAMING RADEON RX 7600 XT OC EDITION 16GB GDDR6,6,14600
