Name,formfactor,socket,max_memory,price,memory_slot,m2_slot,brand
ASUS PRIME A320M-K (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,32,1890,2,True,ASUS
AM4 BIOSTAR B450MH,MICRO-ATX,AM4,32,1990,2,True,BIOSTAR
AM4 ASROCK B450M STEEL LEGEND,MICRO-ATX,AM4,64,3050,4,True,ASROCK
ASROCK B450 STEEL LEGEND (DDR4) (SOCKET AM4) (ATX),ATX,AM4,128,3490,4,True,ASROCK
AM4 ASROCK B450M-HDV R4.0,MICRO-ATX,AM4,32,1990,2,True,ASROCK
AM4 ASROCK X570 PHANTOM GAMING 4,ATX,AM4,128,5490,4,True,ASROCK
AM4 ASROCK X570 STEEL LEGEND,ATX,AM4,128,7690,4,True,ASROCK
AM4 ASUS PRIME X570-P/CSM,ATX,AM4,128,4990,4,True,ASUS
AM4 MSI B450M PRO-VDH MAX,MICRO-ATX,AM4,128,2250,4,True,MSI
AM4 MSI B450 GAMING PLUS MAX,ATX,AM4,128,2890,4,True,MSI
AM4 MSI B450M-A PRO MAX,MICRO-ATX,AM4,64,2090,2,True,MSI
ASUS PRIME B550M-K (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,3190,4,True,ASUS
AM4 ASUS PRIME B550M-A/CSM,MICRO-ATX,AM4,128,3990,4,True,ASUS
AM4 ASROCK B550 STEEL LEGEND,ATX,AM4,128,5390,4,True,ASROCK
AM4 ASROCK B550M PRO4,MICRO-ATX,AM4,128,3490,4,True,ASROCK
ASROCK B550M STEEL LEGEND (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,3990,4,True,ASROCK
ASROCK A520M-HVS (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,64,1850,2,True,ASROCK
AM4 MSI B550-A PRO,ATX,AM4,128,4150,4,True,MSI
AM4 ASROCK B550M-HDV,MICRO-ATX,AM4,64,2790,2,True,ASROCK
AM4 ASROCK B550 PRO4,ATX,AM4,128,3990,4,True,ASROCK
AM4 ASROCK B450M-PRO4 R2.0,MICRO-ATX,AM4,128,2460,4,True,ASROCK
AM4 ASROCK B450 PRO4 R2.0,ATX,AM4,128,2990,4,True,ASROCK
AM4 GIGABYTE B450 AORUS ELITE (REV 1.1),ATX,AM4,128,2990,4,True,GIGABYTE
AM4 ASUS PRIME B450M-K II,MICRO-ATX,AM4,64,2890,2,True,ASUS
AM4 GIGABYTE X570S GAMING X,ATX,AM4,128,5990,4,True,GIGABYTE
ASUS PRIME A520M-K (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,64,1990,4,True,ASUS
AM4 BIOSTAR A520MH,MICRO-ATX,AM4,64,2099,4,True,BIOSTAR
AM4 MSI A520M-A PRO,MICRO-ATX,AM4,64,1820,4,True,MSI
AM4 GIGABYTE X570S UD,ATX,AM4,128,4990,4,True,GIGABYTE
AM4 ASUS TUF GAMING B550M-E,MICRO-ATX,AM4,128,3890,4,True,ASUS
AM4 ASUS PRIME B550-PLUS,ATX,AM4,128,4190,4,True,ASUS
MSI PRO B550M-P GEN3 (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,3690,4,True,MSI
GIGABYTE A520M S2H (REV. 1.2) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,64,2290,4,True,GIGABYTE
GIGABYTE B450M DS3H V2 (REV. 1.2) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,2490,4,True,GIGABYTE
GIGABYTE B550 AORUS ELITE V2 (REV. 1.1) (SOCKET AM4) (ATX),ATX,AM4,,4890,2,True,GIGABYTE
GIGABYTE B550M AORUS ELITE (REV. 1.3) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,3690,4,True,GIGABYTE
GIGABYTE A520M K (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,64,2050,4,True,GIGABYTE
ASUS PRIME X570-P (DDR4) (SOCKET AM4) (ATX),ATX,AM4,128,4590,4,True,ASUS
GIGABYTE B550 AORUS ELITE V2 (REV. 1.2) (DDR4) (SOCKET AM4) (ATX),ATX,AM4,128,3980,4,True,GIGABYTE
GIGABYTE B550M DS3H (REV. 1.5) (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,3290,4,True,GIGABYTE
GIGABYTE A520M K V2 (REV. 1.0) (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,1890,4,True,GIGABYTE
GIGABYTE B550M K (REV. 1.0) (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,2890,4,True,GIGABYTE
GIGABYTE B550M DS3H (REV. 1.7) (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,3250,4,True,GIGABYTE
MSI B550M PRO-VDH WIFI (DDR4) (SOCKET AM4) (MICRO-ATX),MICRO-ATX,AM4,128,3560,4,True,MSI
GIGABYTE B550M K (REV. 1.1) (SOCKET AM4 DDR4 MICRO-ATX),MICRO-ATX,AM4,128,2890,4,True,GIGABYTE
GIGABYTE A520M K V2 (REV. 1.1) (SOCKET AM4 DDR4 MICRO-ATX),MICRO-ATX,AM4,64,1890,4,True,GIGABYTE
GIGABYTE B550 AORUS ELITE V2 (REV. 1.5) (SOCKET AM4 DDR4 ATX),ATX,AM4,128,4690,4,True,GIGABYTE
ASROCK X670E STEEL LEGEND (SOCKET AM5) (ATX),ATX,AM5,128,11900,4,True,ASROCK
ASROCK X670E PG LIGHTNING (SOCKET AM5) (ATX),ATX,AM5,128,10500,4,True,ASROCK
ASUS ROG CROSSHAIR X670E HERO (SOCKET AM5) (ATX),ATX,AM5,128,27800,4,True,ASUS
ASUS ROG CROSSHAIR X670E GENE (SOCKET AM5) (MICRO-ATX),MICRO-ATX,AM5,128,23400,4,True,ASUS
ASROCK X670E PRO RS (SOCKET AM5) (ATX),ATX,AM5,128,10600,4,True,ASROCK
MSI PRO X670-P WIFI (SOCKET AM5) (ATX),ATX,AM5,128,12200,4,True,MSI
ASUS ROG STRIX X670E-F GAMING WIFI (SOCKET AM5) (ATX),ATX,AM5,128,16900,4,True,ASUS
