Name,wattage,price
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SILVERSTONE STRIDER ESSENTIAL - 500W 80 PLUS,500,1390
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SILVERSTONE STRIDER ESSENTIAL - 700W 80 PLUS,700,1750
POWER SUPPLY (อุปกรณ์จ่ายไฟ) AEROCOOL AE-650W - 650W 80 PLUS,650,1690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) AEROCOOL AE550 - 550W 80 PLUS,550,1490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) CORSAIR AX1600i - 1600W 80 PLUS TITANIUM,1600,21590
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SILVERSTONE STRIDER ESSENTIAL - 600W 80 PLUS,600,1590
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ANTEC ATOM V550 - 550W,550,1090
POWER SUPPLY (อุปกรณ์จ่ายไฟ) GAMDIAS KRATOS M1 750B - 750W 80 PLUS BRONZE,750,2290
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TR2 S 750W 80 PLUS,750,1890
"POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER MWE GOLD, FULLY MODULAR 550W A/EU CABLE",550,2790
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS ROG-STRIX-750G,750,4990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ANTEC ATOM B550 - 550W 80 PLUS BRONZE,550,1690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ANTEC ATOM B650 - 650W 80 PLUS BRONZE,650,1890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS ROG STRIX 850G WHITE - 850W 80 PLUS GOLD,850,5390
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS ROG STRIX 1000G - 1000W 80 PLUS GOLD,1000,6100
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COUGAR XTC ARGB - 550W 80 PLUS,550,1690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) GIGABYTE P650B - 650W 80 PLUS BRONZE,650,1890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) EKONTA GL-E600 - 600W 80 PLUS,600,1490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS ROG STRIX - 850W 80 PLUS GOLD,850,5190
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SILVERSTONE VIVA750 - 750W 80 PLUS BRONZE,750,2190
POWER SUPPLY (อุปกรณ์จ่ายไฟ) NZXT C850 - 850W 80 PLUS GOLD,850,4690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) GIGABYTE AORUS AP850GM 850W 80 PLUS GOLD,850,4990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) GIGABYTE AORUS AP750GM 750W 80 PLUS GOLD,750,3990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) GIGABYTE P850GM 850W 80 PLUS GOLD,850,3790
POWER SUPPLY (อุปกรณ์จ่ายไฟ) GIGABYTE P650B 650W 80 PLUS BRONZE,650,1890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) GIGABYTE P550B 550W 80 PLUS BRONZE,550,1590
POWER SUPPLY (อุปกรณ์จ่ายไฟ) CORSAIR CV650 - 650W 80 PLUS BRONZE,650,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SILVERSTONE DA850 - 850W 80 PLUS GOLD,850,3690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF 850W 80 PLUS GOLD,850,3890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) CORSAIR CV750 - 750W 80 PLUS BRONZE,750,2290
POWER SUPPLY (อุปกรณ์จ่ายไฟ) COOLER MASTER G800 GOLD - 800W 80 PLUS GOLD,800,3250
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ANTEC NEOECO NE850G M - 850W 80 PLUS GOLD,850,3790
POWER SUPPLY (อุปกรณ์จ่ายไฟ) PLENTY ULTRA 550W,550,490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) THERMALTAKE TOUGHPOWER GF 750W 80 PLUS GOLD,750,3490
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SILVERSTONE DA750 - 750W 80 PLUS GOLD,750,3190
POWER SUPPLY (อุปกรณ์จ่ายไฟ) SILVERSTONE VIVA650 - 650W 80 PLUS BRONZE,650,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ZALMAN MEGAMAX 700W V2 - 700W 80 PLUS,700,1690
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ASUS ROG THOR 1000P2 GAMING - 1000W 80 PLUS PLATINUM,1000,12890
POWER SUPPLY (อุปกรณ์จ่ายไฟ) FSP HYPER K 500W ( 80+ ),500,1390
POWER SUPPLY (อุปกรณ์จ่ายไฟ) MSI MAG A650BN - 650W 80 PLUS BRONZE,650,1990
POWER SUPPLY (อุปกรณ์จ่ายไฟ) GIGABYTE UD850GM - 850W 80 PLUS GOLD,850,4190
POWER SUPPLY (อุปกรณ์จ่ายไฟ) ZALMAN MEGAMAX 500W V2 - 500W 80 PLUS,500,1350
